State,Value
 XO  O  X,0.0
 XO  O X ,0.0
 XO  O XX,0.0
 XO  OOXX,0.0
 XO  OX  ,0.0
 XO  OX X,0.0
 XO  OXOX,1.0
 XO  X   ,0.0
 XO  X OX,0.0
 XO  XO X,0.0
 XO  XX O,0.0
 XO  XXOO,0.0
 XO O   X,0.0
 XO O  X ,0.0
 XO O  XX,0.0
 XO O OXX,-1.0
 XO O X  ,0.0
 XO O XX ,0.0
 XO O XXO,0.0
 XO OOX X,0.0
 XO OOXX ,0.0
 XO OX   ,0.0
 XO OX OX,0.0
 XO OXX  ,0.0
 XO OXX O,0.0
 XO OXXOX,0.0
 XO OXXXO,-1.0
 XO X    ,0.0
 XO X  OX,0.0
 XO X  XO,1.0
 XO X OOX,0.0
 XO X XOO,0.0
 XO XO   ,0.0
 XO XOOXX,1.0
 XO XOXOX,0.0
 XO XXOO ,1.0
 XO XXOOX,0.0
 XO XXXOO,0.0
 XOO    X,0.0
 XOO   X ,1.0
 XOO  X  ,0.0
 XOO  XOX,0.0
 XOO X   ,0.0
 XOO X  X,0.0
 XOO X OX,0.0
 XOO X X ,0.0
 XOO X XO,0.0
 XOO XO X,0.0
 XOO XX  ,0.0
 XOO XX O,0.0
 XOO XXOX,0.0
 XOOO XX ,0.0
 XOOO XXX,1.0
 XOOOX  X,0.0
 XOOOX X ,0.0
 XOOOX XX,0.0
 XOOOXOXX,-1.0
 XOOOXX  ,0.0
 XOOOXX X,0.0
 XOOOXXOX,0.0
 XOOX    ,1.0
 XOOX   X,0.0
 XOOX  X ,1.0
 XOOX O X,0.0
 XOOX X  ,0.0
 XOOX X O,0.0
 XOOX XOX,0.0
 XOOXO  X,0.0
 XOOXOX X,0.0
 XOOXOXOX,1.0
 XOOXOXX ,1.0
 XOOXX   ,0.0
 XOOXXO  ,0.0
 XOOXXO X,0.0
 XOOXXOOX,1.0
 XOOXXX O,0.0
 XOOXXXOO,0.0
 XOX     ,0.0
 XOX    O,0.0
 XOX   O ,0.0
 XOX   OX,0.0
 XOX   XO,-1.0
 XOX  O  ,0.0
 XOX  O X,0.0
 XOX  OOX,0.0
 XOX O   ,0.0
 XOX O  X,0.0
 XOX O OX,0.0
 XOX O X ,-1.0
 XOX O XO,-1.0
 XOX OO X,0.0
 XOX OOXX,0.0
 XOX OX  ,0.0
 XOX OX O,-1.0
 XOX OXO ,0.0
 XOX OXOX,0.0
 XOX X OO,0.0
 XOX XO  ,0.0
 XOX XOO ,1.0
 XOX XXOO,0.0
 XOXO    ,0.0
 XOXO   X,-1.0
 XOXO  OX,0.0
 XOXO  X ,0.0
 XOXO  XO,0.0
 XOXO O X,-1.0
 XOXO XXO,-1.0
 XOXOOOXX,-1.0
 XOXOOXOX,1.0
 XOXOOXX ,0.0
 XOXOX OX,0.0
 XOXOXO  ,-1.0
 XOXOXOXO,-1.0
 XOXX   O,-1.0
 XOXX OOX,0.0
 XOXXO  O,-1.0
 XOXXO O ,0.0
 XOXXOO X,1.0
 XOXXOOOX,1.0
 XOXXOXO ,-1.0
 XOXXOXOO,-1.0
 XOXXXOO ,1.0
 XX     O,0.0
 XX    O ,0.0
 XX    OO,0.0
 XX   O  ,0.0
 XX   O O,0.0
 XX   OOX,0.0
 XX   OXO,0.0
 XX  O   ,0.0
 XX  O  O,1.0
 XX  O O ,0.0
 XX  O XO,0.0
 XX  OO X,0.0
 XX  OOOX,0.0
 XX  OOX ,0.0
 XX  OOXO,1.0
 XX  OX O,0.0
 XX  OXOO,0.0
 XX  X OO,0.0
 XX  XOOO,-1.0
 XX O    ,0.0
 XX O   O,0.0
 XX O  OX,0.0
 XX O  XO,0.0
 XX O O  ,1.0
 XX O OOX,0.0
 XX O OX ,0.0
 XX O OXO,0.0
 XX O X O,0.0
 XX O XOO,1.0
 XX OO   ,1.0
 XX OO OX,0.0
 XX OOX  ,-1.0
 XX OOXOX,0.0
 XX OX  O,0.0
 XX OX OO,1.0
 XX X O O,0.0
 XX XO  O,0.0
 XX XO O ,0.0
 XX XOO  ,0.0
 XX XOO O,0.0
 XX XOOOX,0.0
 XX XOOXO,1.0
 XXO     ,0.0
 XXO    O,1.0
 XXO   XO,0.0
 XXO  O  ,1.0
 XXO  O X,0.0
 XXO O   ,0.0
 XXO O  X,0.0
 XXO O OX,0.0
 XXO O XO,0.0
 XXO OO X,0.0
 XXO OOX ,0.0
 XXO X  O,0.0
 XXO XO  ,0.0
 XXO XOO ,0.0
 XXO XXOO,0.0
 XXOO    ,0.0
 XXOO  X ,0.0
 XXOO  XO,0.0
 XXOO O X,1.0
 XXOO OXX,0.0
 XXOO X  ,-1.0
 XXOO XOX,0.0
 XXOOOOXX,-1.0
 XXOOOX  ,-1.0
 XXOOOXOX,-1.0
 XXOOX  O,0.0
 XXOOX OX,1.0
 XXOOX XO,-1.0
 XXOOXO X,1.0
 XXOOXX O,-1.0
 XXOX  O ,0.0
 XXOX  OO,0.0
 XXOX O  ,-1.0
 XXOX O O,0.0
 XXOX OXO,1.0
 XXOXO   ,0.0
 XXOXO  O,0.0
 XXOXO OX,0.0
 XXOXOOOX,1.0
 XXOXOOX ,1.0
 XXOXOX O,1.0
 XXX   OO,0.0
 XXX  O O,0.0
 XXX O  O,0.0
 XXX O O ,0.0
 XXX O OO,0.0
 XXX OO  ,0.0
 XXX OOOX,0.0
 XXX OOXO,1.0
 XXX OXOO,0.0
